DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
ZZ201500000001,ZZGE61FL,ZZ,2015,1,ZZ2015DHS,43.67313385,66.65227509,77.3108902,78.36889648,94.49060059,37.44809341,32.10511398,44.78839874,43.01116943,45.0945015,24.86161995,25.52684021,25.56572914,24.78006554,25.68253899,11.8358078,11.58724022,11.7932291,10.34895802,10.67942715,NA,844.9121094,0.409330487,0.41425693,0.449677259,0.437538028,0.458210051,0,0,0,0,0,14.27863789,15,0,0.021707417,0.01758484,0.205407873,0.346592337,0.442412138,21.83519554,22.5558815,22.89301682,22.21407318,22.65896034,0.002321766,5.506313324,0.66102308,0.31703043,0.005612426,0.534433901,0.537526548,0.484501958,0.392274141,0.39170295,0.657999218,0.641728282,0.531261742,0.384121895,0.417783201,29.87834167,30.49144936,30.19457436,28.98250961,28.70768166,23.93667603,24.66783905,24.26992226,23.78645897,23.34296989,18.04253578,18.90420914,18.40134621,18.63355064,18.02825546,0,18.80876923,19.5849247,20.2203064,19.64808083,19.6353817,2.973741293,3.159201384,3.190017462,2.894314289,2.844878435,111.360939,101.4265213,142.8757782,124.4878464,128.2883759,2244.561035,2100.666504,2384.936279,2394.623291,2212.747314,22.85265732,22.91567039,22.99010658,23.05932426,22.94823074,22.16164207,21.78762245,22.17354584,22.32759285,22.50792313,22.40524101,22.41766167,853.5029297,8.258138657,12.30530167,14.74309921,14.39946747,16.48226547,138.7089691,161.0680847,186.0925293,211.5479736,236.2141724,6.449549198,7.489181042,8.652742386,9.836343765,10.98324776,12.38509083,11.82262516,13.92228699,13.20130157,13.40327263
ZZ201500000002,ZZGE61FL,ZZ,2015,2,ZZ2015DHS,336.2368774,515.1213989,487.4579163,529.6351318,580.1845093,35.45849991,30.74451065,41.30105591,42.71812439,45.37285614,22.11164093,22.3885994,22.63839149,22.54765129,22.77872086,12.19926262,11.94185448,12.14746857,11.09354687,11.01507568,NA,1547.353516,0.460185796,0.463301808,0.507025778,0.475076526,0.46875307,0,0,0,0,0,21,15,0,0.012939026,0.01071867,0.196306482,0.258676946,0.455171049,18.67032051,18.94604874,19.31155777,19.10957718,19.33769798,0.007920793,10.78855991,0.895291209,0.935237706,0.013168767,0.438994348,0.356132448,0.348837942,0.228129834,0.27288565,0.445999295,0.317359149,0.307393491,0.17139414,0.243883252,27.1052227,27.78001976,27.36889458,26.22654724,25.95085335,20.97967339,21.78310204,21.27653503,20.65596199,20.41449738,14.90596104,15.83816528,15.22142696,15.13300037,14.93577862,0,15.22900009,15.50349712,15.98472214,15.67150497,15.89667606,2.878732681,3.090596199,3.0520401,2.751591444,2.795645237,102.0755386,95.01886749,126.052475,117.5428238,126.8464127,2022.411255,1978.937744,2278.181396,1997.405029,1954.119385,18.27415657,18.24899101,18.35150909,18.47277069,18.21538544,17.80349541,18.08109665,18.63946915,18.61210442,18.44529152,18.02009583,18.03829384,293.6708984,73.44779205,102.8760147,94.81822205,94.46087646,98.13783264,237.7242584,280.2159424,328.6447449,379.2460327,429.865448,11.05232239,13.02785397,15.27941513,17.63197899,19.9853878,13.95451736,13.29357624,16.35498619,14.88004875,15.52781773
ZZ201500000003,ZZGE61FL,ZZ,2015,3,ZZ2015DHS,1067.947632,1111.692627,1911.613159,1892.705811,2382.422363,34.41145706,30.38479614,28.5144043,37.5668335,38.56983948,29.14040375,28.34372711,28.87981415,29.18101883,29.27824211,12.3337822,12.04878521,12.26079369,11.18467903,11.17170143,NA,542.2939453,0.423388094,0.433887541,0.449091256,0.423223257,0.452439547,0,0,0,0,0,22.06549263,11,0,0.041362744,0.048383046,0.290656894,0.440399349,0.579919577,24.39148712,24.29522324,24.64596558,24.93184853,25.21395302,0.000294021,7.691236973,0.548399627,0.494110584,0.005675836,0.441850722,0.432438403,0.40552476,0.454900384,0.274799258,0.469748318,0.426295072,0.413137287,0.444890171,0.247784838,31.48670578,32.14412689,31.7379055,30.83575058,30.32450867,25.29832268,26.0918541,25.5841732,25.22556496,24.71938705,19.15292168,20.09534073,19.47711182,19.65107155,19.15280724,0,19.64256859,20.24671936,20.412117,20.68267632,21.14966393,3.21513319,3.448379755,3.464091539,3.19395256,3.110894203,110.637413,104.7783127,98.77650452,119.9866867,119.9866867,1403.924927,1416.5,1319.499634,1468.887573,1332.884399,24.67946053,25.15233231,25.3990078,25.21489525,25.50932312,24.81888771,24.41659927,25.05353355,25.02808762,24.74058342,24.62894058,24.57357025,70.48339844,200.2306213,205.2399902,316.5224609,347.7649231,415.5726929,479.0283203,556.2449951,642.6663818,730.5761719,815.7603149,22.32795334,25.92709541,29.95527649,34.05283356,38.02334595,10.60680866,10.04904175,11.35965252,11.28343391,11.28343487
ZZ201500000004,ZZGE61FL,ZZ,2015,4,ZZ2015DHS,406.8495483,689.0862427,601.7745972,1054.366577,1333.119263,36.35285568,31.01558495,37.79637146,40.0794754,42.79318237,25.84613609,25.86531258,26.44732666,26.06792831,26.77322769,11.9127903,11.59062481,11.84596348,10.72058773,10.77064514,NA,612.3632813,0.491655707,0.501192808,0.526789665,0.506851733,0.522348702,0,0,0,0,0,32.36372757,13,0,0.03579253,0.033957731,0.299262136,0.523300588,0.530581474,22.94521904,23.07570457,23.42790604,23.29858208,23.42492294,0.004625852,8.125983238,1.079818726,0.307048112,0.009779111,0.529691279,0.528029621,0.504536092,0.457636774,0.342781454,0.634673834,0.605861545,0.565544546,0.477991581,0.333479613,30.40999794,30.94437218,30.60241699,29.61678314,29.19592094,24.42634583,25.13537407,24.66558266,24.23780441,23.7772274,18.49720764,19.35374641,18.75645256,18.89619446,18.4252758,0,20.04430199,20.28609657,20.40848541,20.52923393,20.0766201,3.065494776,3.259534121,3.286964655,3.010980844,2.949146509,111.4394836,101.0963516,124.2353287,120.6785278,126.2033615,2012.089355,1935.40979,1994.597656,2110.309082,1950.807251,23.84799957,23.88522911,23.98733521,23.92426872,23.80839157,23.18264389,23.1010952,23.70275307,23.86931419,23.69417191,23.49229813,23.59489822,103.3642578,98.43237305,128.9581146,152.6784973,204.3350983,245.006012,202.6160736,229.5824127,258.8319092,287.1160889,312.8343506,9.427021027,10.68167114,12.04254818,13.35851288,14.55509377,12.16736221,11.572052,13.78789616,12.93181419,13.20688915
ZZ201500000005,ZZGE61FL,ZZ,2015,5,ZZ2015DHS,428.9876709,739.7484131,797.3355713,968.7572632,991.5918579,39.49070358,33.88357162,41.17796707,44.1185112,45.98838043,26.58659172,26.03798676,26.2652092,26.09892464,26.92045212,11.57712746,11.26054764,11.50894165,10.37725735,10.47669315,NA,582.1367188,0.504068971,0.505212307,0.52052623,0.50708282,0.529137909,0,0,0,0,0,18.05862617,14,0,0.031414039,0.037464891,0.290156245,0.527370811,0.56776017,23.22410774,23.35312462,23.35320854,23.39107704,23.7966156,0.003382886,10.60138321,0.793645144,0.360851556,0.010018671,0.487840354,0.492922425,0.454482138,0.449678838,0.303513139,0.553865314,0.516795456,0.46828863,0.461747319,0.286503315,30.04244804,30.60099983,30.31119919,29.32217979,28.89010429,24.23606873,24.94926262,24.53302956,24.11115456,23.62860298,18.46532059,19.34045219,18.80225754,18.94492149,18.41341209,0,19.86162567,20.66826439,20.44120789,20.68322945,20.67277718,2.952821255,3.157855988,3.18216157,2.907769203,2.841927052,116.6089859,106.9994354,131.0349426,128.2864685,130.6956177,2013.376343,1945.793091,1979.957764,2127.184814,1972.310791,23.94383621,24.0480175,24.15375137,24.16059494,24.01651001,23.34077644,23.16505051,23.61052513,23.85142517,23.78014565,23.64373779,23.70967102,142.1298828,90.97192383,137.1723175,172.7194366,180.4535065,175.3282166,246.7735748,284.609314,326.6375122,368.8883057,409.2528992,11.48009396,13.24024105,15.19542408,17.16096306,19.03875542,11.91098499,11.4144659,13.72670555,12.78372383,12.8988018
ZZ201500000006,ZZGE61FL,ZZ,2015,6,ZZ2015DHS,1588.737183,1990.829346,2787.769043,3808.409424,6113.593262,28.47457123,26.72315407,24.403759,32.18522263,32.8928566,30.96238708,30.28923607,30.86093712,29.66857719,30.1195488,13.00160599,12.64570332,12.94687462,11.9541235,11.80633736,4,619.8212891,0.37997672,0.388257474,0.402270138,0.415226221,0.416568279,0,0,0,0,0,32.97254944,10,0,0.039947201,0.031163519,0.255452812,0.530619025,0.554361522,25.12398911,25.28244781,25.48633766,24.95513725,25.56824684,0.01292178,1.307231307,0.041871823,0.054791756,0.005122508,0.540816426,0.566898763,0.564652264,0.547017932,0.419695586,0.693476677,0.78340894,0.749410391,0.663360178,0.44863525,31.73381233,32.4241333,31.89045143,31.13480949,30.51145935,25.20586014,26.07591248,25.3934021,25.13168526,24.57808304,18.73220444,19.77842903,18.94357681,19.18068695,18.70512199,0,19.28559113,20.27565956,20.1117363,20.24169922,21.01694489,3.400173664,3.664019108,3.623611212,3.35507822,3.28289938,96.8184967,97.91415405,88.42973328,107.9839401,107.9839401,1282.147217,1159.875488,1110.939331,1391.748901,1240.059082,23.80425072,24.09918976,24.39022255,24.34961891,24.50968552,23.28886032,23.54854012,24.59343529,24.60264015,24.09054375,23.3202877,23.44120216,19.04492188,278.0267944,351.844574,510.6985474,750.1169434,1142.692017,341.8721008,500.8896484,730.1884766,1047.341553,1475.566895,15.9614563,23.38572884,34.09132004,48.89868546,68.89183044,9.489726067,9.234041214,10.01207447,10.28155327,10.28155327
ZZ201500000007,ZZGE61FL,ZZ,2015,7,ZZ2015DHS,1668.483398,1949.333496,2163.023926,2984.985107,3736.394043,30.85017014,27.69458961,40.10364532,38.28143311,37.72324753,25.0596981,25.54135513,25.33197975,24.90274239,24.84378242,12.31844616,11.99639797,12.24921894,11.26475716,11.27209187,NA,1544.234375,0.501589596,0.53362602,0.543279171,0.548288941,0.545025468,0,0,0,0,0,26.31763077,14,0,0.01846166,0.017498,0.112177081,0.492762059,0.636860013,19.69049263,20.54539299,20.41693115,20.19263077,20.45032501,0.060109612,43.76234055,2.905228376,3.83784318,0.083773613,0.43652764,0.3402794,0.380667448,0.165988892,0.231164083,0.431237221,0.295025438,0.340318322,0.107733101,0.192410976,27.0958786,27.7057724,27.59752655,26.56645012,26.18927956,20.90872383,21.67586899,21.43910599,20.90937614,20.52912331,14.77743149,15.70937538,15.34830761,15.30169296,14.91718769,0,14.32128811,15.5494318,15.50188446,15.4825182,16.0568676,2.910460234,3.128342152,3.083767414,2.773784876,2.877517462,89.78819275,86.63815308,123.670311,106.1844559,108.5493088,1537.938843,1415.002563,1768.791382,1509.498901,1452.90979,18.81822014,19.31513977,19.46044731,19.51763153,19.47703743,18.85379791,18.47747803,18.73255348,18.79900169,18.73082352,18.69782639,18.76357841,36.16015625,325.8708801,389.3056641,382.153595,532.3745728,632.008606,488.1577759,575.4128418,674.8596191,778.7674561,882.7125244,22.69055557,26.74634743,31.36883354,36.19867706,41.03025436,14.2953825,13.66392803,15.7815876,15.38828087,15.68877125
ZZ201500000008,ZZGE61FL,ZZ,2015,8,ZZ2015DHS,1407.189697,1432.466187,1856.16394,1822.683228,2122.527344,22.21208382,23.13854027,22.43616104,26.13546371,30.59710503,31.17568207,29.73319435,29.55440903,28.84468842,29.43114662,12.17782116,11.82113743,12.07669258,11.01636314,10.58715343,1,1202.924805,0.278291076,0.325485438,0.331152946,0.344356775,0.346138775,0,0,0,0,0,27.67228127,9,0,0.020810882,0.065913685,0.502346158,0.641620696,0.286725909,23.35011292,23.10676956,23.02428818,22.7580204,23.14404678,2.866441488,38.35573959,0.256824136,0.350491196,1.045580864,0.504444122,0.404075056,0.2644023,0.148155615,0.204813957,0.543515086,0.373312235,0.201926142,0.089317985,0.146440148,28.72738647,29.31067848,28.94791794,28.18376732,27.71632004,22.61341286,23.37599754,22.88272667,22.64778709,22.39670181,16.54956627,17.4895401,16.87122536,17.16740417,17.12916756,0,15.52454567,16.48034668,16.49416542,16.67135429,16.85694695,3.60794282,3.864670277,3.776345491,3.582118034,3.545312643,80.13993073,89.42282867,84.7266922,93.62031555,108.4763031,1140.207275,984.7279663,1094.375732,1479.897949,1242.007935,20.69691849,20.73621368,20.72743416,20.78814507,20.60244179,19.714571,19.64264297,21.10336113,22.27750397,22.20503235,20.88135719,20.52550697,62.55859375,254.2845612,299.1472778,349.7228394,348.4289856,384.669281,1824.534302,2079.634521,2397.669678,2756.152832,3132.083496,85.08164215,96.9774704,111.8080826,128.5248566,146.0552521,11.6111021,11.87203503,12.65820313,12.91380119,13.70780373
ZZ201500000009,ZZGE61FL,ZZ,2015,9,ZZ2015DHS,357.05896,430.6737976,448.5219727,483.1028137,549.0276489,39.26740265,32.71147537,43.81051636,43.2531662,48.98865891,22.62037849,22.67562485,22.92597198,22.79878426,22.88763809,12.13854218,11.85195351,12.08984375,11.00368881,10.88250923,NA,1554.705078,0.40306896,0.414400339,0.436955035,0.418751359,0.421509564,0,0,0,0,0,16.95347404,13,0,0.010179923,0.006994288,0.17675738,0.414798886,0.271625936,19.06450272,19.4119606,19.7395649,19.38871574,19.79594421,0.006080439,12.53811646,0.708857298,0.524436057,0.005851037,0.509668052,0.51655817,0.526000798,0.325766981,0.32354337,0.5714522,0.544142127,0.576645672,0.286658585,0.302969486,26.99717903,27.65815926,27.19383621,26.1197052,25.76918411,20.90585899,21.703125,21.11996651,20.59743881,20.29978371,14.85863686,15.8062067,15.10399342,15.11601543,14.88667583,0,15.50862503,16.14829636,16.55315971,15.97864628,16.70424843,2.898263931,3.097526073,3.062283039,2.842447996,2.808680534,113.8072968,101.3246536,134.160202,122.9448776,137.5934906,1977.191162,1951.81604,2201.00415,2023.364868,1643.472046,18.19704056,18.05761528,18.07655334,18.53170776,18.3214016,17.56143188,18.16954803,19.00630188,19.063694,18.58862877,18.02979851,17.89170647,650.5615234,62.29943466,80.59786987,83.54411316,93.62480164,100.9025116,2518.231201,2853.384521,3216.914551,3568.447021,3888.088135,117.1332855,132.722641,149.6319275,165.983139,180.8509674,13.73547268,13.05748653,15.57095432,14.54505253,15.31674004
ZZ201500000010,ZZGE61FL,ZZ,2015,10,ZZ2015DHS,1391.634888,2080.125244,2454.330566,7774.769043,10046.17773,40.52074432,34.23994827,50.74738312,45.91698074,46.79859924,26.1478405,26.55937576,26.60604095,25.65802002,26.98093414,11.7144537,11.33098984,11.62421894,10.10755253,10.43723965,NA,551.4804688,0.523316443,0.54836458,0.549521327,0.546257794,0.562398434,0,0,0,0,0,34.76131439,15,0,0.048528723,0.037167322,0.290959477,0.498714596,0.587779045,22.84585762,23.2135067,23.66670799,22.99798965,24.06677437,0.006030168,166.6052551,2.185288191,2.371207714,0.062244855,0.539851367,0.550567567,0.504454911,0.358256429,0.334327906,0.665379584,0.705542922,0.581380367,0.337300777,0.333109677,30.61927223,31.09218788,30.93867302,29.74296951,29.47500038,24.73359299,25.40572929,25.10065079,24.66132736,24.23007774,18.90481758,19.76119804,19.31445313,19.63541794,19.03775978,0.080335982,19.54387474,19.86763954,20.72737503,20.33795929,21.15261459,2.950000048,3.137630224,3.168880224,2.879687548,2.838150978,119.5362015,107.4322891,160.8123627,132.2265625,132.8214874,2051.875,2021.500732,2092.374023,2067.559814,1993.641113,24.14787292,24.25018692,24.3420105,24.49220657,24.24833488,23.66191292,23.25368881,23.46415329,23.7351265,23.96615601,23.76445198,23.90996361,79.51367188,293.4398804,384.0314331,654.8886719,1428.532593,1752.383301,138.7115479,161.0710602,186.0959778,211.5518951,236.2185516,6.449549675,7.489180565,8.652742386,9.836343765,10.98324776,11.8865366,11.33052063,13.02154922,12.64270782,12.67260361
